training_time,LoRa_training_time
 666.2507355213165,331.3040714263916 
 668.0335583686829,329.1347773075104 
 666.2998380661011,327.65886306762695
 665.9229238033295,325.85569882392883
 666.1967163085938,326.86877512931824
 665.9810879230499,327.2879326343536
 668.1541712284088,328.7741289138794
 666.0004646778107,327.0572340488434
 666.5757169723511,
 667.4793479442596,
 666.2507355213165,
 665.1125528812408,
 668.0335583686829,
 666.7930278778076,
 666.2998380661011,
 665.9229238033295,
 666.1967163085938,
 665.9810879230499,
 668.1541712284088,
 666.0004646778107,
 666.5757169723511,
 667.4793479442596,
 666.2507355213165,
 665.1125528812408,
 668.0335583686829,
 666.7930278778076,
 666.2998380661011,
 665.9229238033295,
 666.1967163085938,
 665.9810879230499,
 668.1541712284088,
 666.0004646778107,
 666.5757169723511,
 667.4793479442596,
 666.2507355213165,
 665.1125528812408,
 668.0335583686829,
 666.7930278778076,
 666.2998380661011,
 665.9229238033295,
 666.1967163085938,
 665.9810879230499,
 668.1541712284088,
 666.0004646778107,
 666.5757169723511,
 667.4793479442596,
 666.2507355213165,
 665.1125528812408,
 668.0335583686829,
 666.7930278778076,
 666.2998380661011,
 665.9229238033295,
 666.1967163085938,
 665.9810879230499,
 668.1541712284088,
 666.0004646778107,
 666.5757169723511,
 667.4793479442596,
 666.2507355213165,
 665.1125528812408,
 668.0335583686829,
 666.7930278778076,
 666.2998380661011,
 665.9229238033295,
 666.1967163085938,
 665.9810879230499,
 668.1541712284088,
 666.0004646778107,
 666.5757169723511,
 667.4793479442596,
 666.2507355213165,
 665.1125528812408,
 668.0335583686829,
 666.7930278778076,
 666.2998380661011,
 665.9229238033295,
 666.7930278778076,329.74242973327637
 665.1125528812408,333.4167342185974
    